start_time,crypto_code,e_roi,time_cost,roi_30,roi_100,roi_300,roi_1000
1620924460.999276,BLZ,1.0044336422718607,33.062846899032586,1.0044336422718607,1.0044336422718607,1.0044336422718607,0.9
1620924461.4508538,BLZ,1.004446827449433,0.00033092498779296875,1.0043940888160134,1.0043940888160134,0.9873167881278904,0.9
1620924828.666343,GXS,1.0040585474675368,366.77233600616455,0.9960673508528308,0.996470732602276,0.996470732602276,0.9
1620924844.534078,GXS,1.0049831570021075,15.43203592300415,0.9970854504637804,0.9970854504637804,0.9972817966987584,0.9
1620925116.7835672,FRONT,1.013872380813025,271.8089609146118,1.003477790158002,1.003477790158002,1.0033321820995944,0.9
1620925160.9167616,ADX,1.004747147210793,43.6891520023346,1.004747147210793,1.00477365524164,0.997530739003398,0.9
1620925288.620151,BQX,1.0049812720074578,127.26373910903929,1.0049812720074578,1.0050473631078134,1.0019705510019332,0.9
1620925289.183842,BQX,1.004016784196073,0.11126708984375,1.004016784196073,1.0036418472896451,1.0037342660974409,0.9
1620925290.151993,BQX,1.0044776060168614,0.5234098434448242,1.0033005391833107,1.0033269213481877,1.0032591506060862,0.9
1620925408.495353,GXS,1.00446344809001,117.90843105316162,0.9956050007656256,0.9956050007656256,0.9955918376554562,0.9
1620925752.0501509,QSP,1.0040634377109938,343.0816397666931,0.994541234402881,0.994541234402881,0.994541234402881,0.9
1620925778.616723,BQX,1.00579606309215,26.071494817733765,1.0055239321226983,1.0055239321226983,0.9989595248527828,0.9
1620925962.151957,ZIL,1.0079401842774771,183.0982840061188,0.9901123547561068,0.9927739471076018,0.9955145203405552,0.9
1620926081.041857,XVG,1.0052334892379398,118.35846567153929,0.9905150302165706,0.9905150302165706,0.9905150302165706,0.9
1620926105.0960178,QLC,1.0058576861956847,23.56285214424133,1.0059374570812345,1.0059374570812345,1.0059640501881972,0.9
1620926105.548277,QLC,1.006017240620461,0.00024127960205078125,1.006017240620461,1.0060704366779192,1.0060704366779192,0.9
1620926106.041121,QLC,1.0061103374130835,0.0003788471221923828,1.0061103374130835,1.0060837365713249,1.0060837365713249,0.9
1620926106.505438,QLC,1.0060837365713249,0.0008339881896972656,1.0060837365713249,1.0060305391074291,1.0060305391074291,0.9
1620926106.957186,QLC,1.006043837945985,0.00041604042053222656,1.006043837945985,1.0061236383614642,1.0061369396615312,0.9
1620926107.389586,QLC,1.0061369396615312,0.0006780624389648438,1.0061369396615312,1.0061369396615312,1.0060305391074291,0.9
1620926107.843544,QLC,1.0060305391074291,0.0005099773406982422,1.0060305391074291,1.0061369396615312,1.0061502413132983,0.9
1620926253.4809668,BQX,1.0045153945940828,145.21074700355533,1.0023399416550594,1.0023796918113748,1.002432696924368,0.9
1620926256.859924,NANO,1.0069092734644949,2.942176103591919,0.9955776521360126,0.9955776521360126,0.9954460594464524,0.9
1620926374.3160849,NANO,1.0044373366636792,117.0101227760315,0.9978040192257176,0.9977908394138212,0.9944396316051534,0.9
1620926526.6786704,PIVX,1.0040014622078588,151.85455107688904,1.0040014622078588,1.0039216539279834,1.0039216539279834,0.9
1620926638.135084,NEBL,1.0049733138895998,110.99709701538086,1.004986655542069,1.0049999975487804,1.0049999975487804,0.9
1620926638.604337,NEBL,1.0050533691183319,0.0002739429473876953,1.0050533691183319,1.0050533691183319,1.005066712896467,0.9
1620926639.061481,NEBL,1.005066712896467,0.0003829002380371094,1.005066712896467,1.0050800570289289,1.0050800570289289,0.9
1620926639.5266392,NEBL,1.0050800570289289,0.00018906593322753904,1.0050800570289289,1.0050800570289289,1.0050800570289289,0.9
1620926639.993077,NEBL,1.0050800570289289,0.0007789134979248048,1.0050800570289289,1.0050800570289289,1.0050800570289289,0.9
1620926640.477028,NEBL,1.0050800570289289,0.00043702125549316406,1.0050800570289289,1.0050800570289289,1.0051200915524177,0.9
1620926640.9212182,NEBL,1.0050800570289289,0.0003116130828857422,1.0050800570289289,1.0050800570289289,1.0052402142611163,0.9
1620926641.3545759,NEBL,1.0052001701681303,0.0003359317779541016,1.0052001701681303,1.0052001701681303,1.0051467830066374,0.9
1620926641.815131,NEBL,1.0051467830066374,0.0005300045013427733,1.0051467830066374,1.0051734758785038,1.005093401515732,0.9
1620926642.3129814,NEBL,1.0051734758785038,0.0002510547637939453,1.0051734758785038,1.005026682624987,1.005026682624987,0.9
1620926642.779252,NEBL,1.005026682624987,0.00026917457580566406,1.0050133399097485,1.005026682624987,1.0051200915524177,0.9
1620926643.2444801,NEBL,1.0051334371023288,0.0003919601440429688,1.0051734758785038,1.0052669120956363,1.0051200915524177,0.9
1620926643.6984682,NEBL,1.005026682624987,0.00023984909057617188,1.005026682624987,1.0050800570289289,1.005093401515732,0.9
1620926644.139339,NEBL,1.00510674635689,0.00031685829162597656,1.00510674635689,1.00510674635689,1.00504002569451,0.9
1620926644.5778394,NEBL,1.00504002569451,0.00045108795166015625,1.00504002569451,1.00504002569451,1.00504002569451,0.9
1620926645.1079106,NEBL,1.00504002569451,0.0002849102020263672,1.00504002569451,1.005066712896467,1.005066712896467,0.9
1620926645.5586429,NEBL,1.0050800570289289,0.00025606155395507807,1.005093401515732,1.005093401515732,1.005066712896467,0.9
1620926646.009571,NEBL,1.005066712896467,0.0002930164337158203,1.005066712896467,1.005026682624987,1.005026682624987,0.9
